BOARD_NO	BOARD_TITLE	BOARD_CONTENT	BOARD_GNO	BOARD_MNO	BOARD_DATE	BOARD_HIT	BOARD_LIKE	BOARD_CATEGORY
1	처음 오신 분들을 위해!! 공지사항	SWEET DRAWING 지켜야 할 공지사항 회원들 자기소개 필독입니다	G001	M000101	2019-06-27	1190	1195	공지사항
2	재료비+개인재료 관련 공지 필독!!	다음달부터 재료비는 횟수에 상관없이 한달에 만원입니다. 첫 주부터 운영진이 맡게 되었어요 새롭게 잘 부탁드립니다!!	G001	M000111	2019-06-28	1200	1205	공지사항
3	지난주 정모 정산 문의드려요	정산보낼 계좌번호 부탁드립니다~	G001	M000121	2019-06-29	1210	1215	질의응답
4	카페 지음에 주차장이 있을까요~?	처음 가는 장소라 잘 몰라서 그런데 주차할 공간이 있나요~?	G001	M000131	2019-06-30	1220	1225	질의응답
5	써드플로어 주소 부탁드립니다	안녕하세요 이번주 정모가 써드플로어라고 하는데 정확히 주소 아는 분 있으신가요~?	G001	M000141	2019-07-01	1230	1235	질의응답
6	벙관련 질문드립니다	안녕하세요 신입회원입니다 혹시 벙을 열려면 어떻게 해야 하나요?	G001	M000151	2019-07-02	1240	1245	질의응답
7	이번주에는 정모가 없나용~?	안녕하세요 다름이 아니라 새로 가입한 신입회원입니다!! 이번주에도 정모가 있을까요~?	G001	M000161	2019-07-03	1250	1255	질의응답
8	이번주 정모 장소 문의드려요!	안녕하세요 이번주 토요일 15시 정모는 어느 쪽에서 진행하나요~?	G001	M000171	2019-07-04	1260	1265	질의응답
9	가입문의드립니다	안녕하세요 가입인사 드리려고 하는데 가입인사 양식이 따로 있나요~?	G001	M000181	2019-07-05	1270	1275	질의응답
10	명화 따라하기	이번 정모 주제는 '앙리 마티스 따라하기'입니다 저는 개인적으로 샤갈의 그림을 좋아해서 샤갈 그림을 따라서 그려볼까 해요 ㅎㅎ 여러분도 여러분께서 좋아하시는 화가가 있다면 명화를 따라 그려보도록 해요!	G001	M000191	2019-07-06	1280	1285	자유게시판
11	자유드로잉 시간^^ 함께 그려볼까!	다음 정모주제는 함께 그려볼까입니다! 모임에서 함께하는 모습을이 정말 즐거운데요!! 바로 그 모습을 그려보는 시간을 갖도록 하겠습니다!!! 장소는 추후에 정확히 공지드릴텐데 아마도 써드플로어가 될 것 같습니다!	G001	M000001	2019-08-28	1810	1815	자유게시판
12	목요일 선인장 드로잉 공지입니다~~	안녕하세요 이번에 운영진이 된 이보람입니당!! 저희 모임장님께서 출산을 앞두신 관계로 이번에 운영진을 맡게 되었습니다!! 열심히 저희 모임을 위해서 이한몸 불사르겠습니다!!!	G001	M000011	2019-08-29	1820	1825	자유게시판
13	토요일 정모 공지입니다~:D	안녕하세요! 이번주 정모 공지입니다^^ 토요일 16시에 카림 홍종흔베이커리에서 모입니당	G001	M000021	2019-08-30	1830	1835	자유게시판
14	토요일 치킨 정산할게요~	서휘, 주현, 인영, 미령, 민영, 철환 63500/6=음대략 10500원씩입니당ㅋㅋ	G001	M000031	2019-08-31	1840	1845	자유게시판
15	23일 불토 정모 정산입니당	오랜만에 불토 답게 보내셨나요? ㅎㅎ 1차 라멘집에서 하고 2차 와인을 마시러 불토 정모를 하려고 하는데 어떠신가요~?	G001	M000041	2019-09-01	1850	1855	자유게시판
16	27일 정모 공지	안녕하세요:) 날씨가 점점 추워지네요 감기들 조심하시기 바랍니다 저도 감기에 걸려서 정말 고생했거든요ㅋㅋ 이제 감기가 다 나아서 모임을 엽니다!	G001	M000051	2019-09-02	1860	1865	자유게시판
17	주말이니까 여행드로잉	안녕하세요! 11월 마지막 주말의 정모 공지를 해보려고 해요 이번에는 주말이니까 여행가고 싶은 마음을 가득 담아서 여행드로잉을 해볼까 해요 각자 자기가 여행가고 싶은 곳에 여행간 모습을 상상하며 자유롭게 그려보아요!	G001	M000061	2019-09-03	1870	1875	자유게시판
18	30일 정모 정산!	더몰트하우스 99000/5=19800 노래방 33000/5=6600원입니당 우리 다섯명 정말 수고많았어!!	G001	M000071	2019-09-04	1880	1885	자유게시판
19	송년회 준비물 공지 드려요~ 안녕하세요~^^ 좋은 밤이지요? 송년회에 준비물이 생겨 공지를 드립니다 다름이 아니라 이번 송년회에서는 간단하게 선물 교환식을 하려 합니다!! 주제는 바로 쓸모없는 선물해주기에요 ㅋㅋ 각 만원 내로 쓸모없는 정성스러운 선물을 준비해주세요!!	내용189	G001	M000081	2019-09-05	1890	1895	자유게시판
20	메리크리스마스	안녕하세욯ㅎ 다들 풍성하고 따뜻한 연말 되고 있으신가용~?? 다름이 아니라 여러분의 열화와 같은 성원에 힘입어 3차 크리스마스 카드 그리기 모임을 열게 되었답니다!! 매번 크리스마스 카드 만들기를 할 때 마다 다들 즐겁게 많은 분들이 참석하셔서 뿌듯하게 돌아가시는 것 보고 제가 다 뿌듯했답니당	G001	M000091	2019-09-06	1900	1905	자유게시판
21	송년회 정산입니당	1차 해온어시장 638,960/18=35,490원 영화관람까지 포함된 정산입니당	G001	M000101	2019-09-07	1910	1915	자유게시판
22	송년회 정산~	대부분 확인 되셔서 계좌 올려드려요~ 국민21650*******	G001	M000111	2019-09-08	1920	1925	자유게시판
23	12일 정모 정산입니당	ㅎㅎㅎ즐거운 드로잉 이후 뜨끈한 골뱅이탕 어떠셨나요~? 저는 얼큰하고 정말 맛있었던 것 같습니당 ㅎㅎ 얼큰하니 골뱅이탕이 아주 잘 익었더라구요 ㅎㅎ 맥주도 한 잔 곁들이니 와우~~ 탄성이 절로 나옵니다 ㅋㅋ 정모에 이번에는 8분이나 참석해주셔서 120,000원/8명=15,000원씩 입금해주시면 됩니당	G001	M000121	2019-09-09	1930	1935	자유게시판
24	12월 15일 저녁식사 정산이어라~~	날이 추워질수록 모임에 참석해 주시는 분들께 고마운 마음이 가득합니당ㅠㅠ 하지만 추운만큼 함께 모였을 때 더 따뜻한 거 같아요!! 이번에도 같이 라떼한잔 드시면서 드로잉 어떠세요~? 장소: 홍종흔 베이커리 입니다	G001	M000101	2019-09-10	1940	1945	자유게시판
25	12월 19일 모임관련 공지	안녕하세요~ 알려드릴게 있어서 이렇게 글 남깁니다~ 이번 모임의 주제는 자전거그리기 입니다~ 자전거를 타며 가고 싶은 길이나 타고싶은 자전거와 나의 모습을 상상하며 자유롭게 그려주시면 됩니다!!	G001	M000111	2019-09-11	1950	1955	자유게시판
26	가입인사	이름: 유성규 나이:37살 사는곳:역삼2동 직장인입니당 ㅎㅎ 그림은 취미로만 조금씩 해왔는데 같이 하면 재밌을 것 같아서 가입하게 되었습니다	G001	M000121	2019-09-12	1960	1965	자유게시판
27	크리스마스 파뤼!!	안녕하세요~ 그림보다 노는데 관심이 더 많은 불량 운영진입니당 ㅋㅋㅋ 다름이 아니오라 크리스마스에 즐거운 파티를 개최할 예정입니다~ 선물도 교환하고 맛있는 식사와 수다도 함께 할 예정이니 많이많이 참석해주세요!!	G001	M000131	2019-09-13	1970	1975	자유게시판
28	일요일엔 방탈출!!	안녕하세요~ 방탈출이 너무나 하고 싶어 파티원 4명을 구합니당!! 장소는 강남역입니다 방탈출 게임 후 맛있는 식사도 함께 할 생각이니 생각있으신 분들은 참석 꾹 눌러주세요!!	G001	M000141	2019-09-14	1980	1985	자유게시판
29	크리스마스 이브 정신입니당~	1차 삼겹살 167,700/7=23,950원 영진	G001	M000151	2019-09-15	1990	1995	자유게시판
30	2020년 첫 정모 공지합니다~:)	여러분! 새해 복 많이 받으세요~~ 새해 첫 정모를 공지합니당 이번 주제는 내가 만약 하늘을 날 수 있다면? 입니다!! 자유롭게 상상 후 그려주시면 됩니당 ㅎㅎ	G001	M000161	2019-09-16	2000	2005	자유게시판
31	드로잉후 즐거운 식사시간ㅎㅎ	안녕하세요ㅎㅎ 오늘 찜닭 식사는 즐거우셨나요? 멋지게 주제에 맞는 그림을 그린 후 찜닭 먹으며 수다떠니 정말 맛있었네요!! 함께 어플로 셀카도 인증 ㅋㅋㅋ	G001	M000171	2019-06-17	1090	1095	자유게시판
32	가입인사 드려요	요즘 그림에 관심이 생겨서 어렵게인사드려요~ 김선동/사는곳:역삼2동/직장인 입니당 ㅎㅎ	G001	M000181	2019-06-18	1100	1105	자유게시판
33	새해 두 번째 정모입니다^^	안녕하세요. 운영진 김주현입니다. 새해 복 많이 받으시구 계신가용~? 고로 두 번째 정모 후기를 전합니당 귀여운 토끼를 패드로 멋지게 그려주신 진주님의 재주넘는 토끼 어떠신가요~?ㅋㅋ	G001	M000191	2019-06-19	1110	1115	자유게시판
34	모네에서 세잔까지 전시회 관람인원 모집합니다~	안녕하세요ㅎㅎ 1월19일 일요일에 예술의전당 한가람미술관에서 전시회를 연다고 합니다!! 모네, 피카소, 르누아르, 세잔 등의 명화를 만나보실 수 있는 모임에 같이 가실 분들을 초대합니다!!	G001	M000001	2019-06-20	1120	1125	자유게시판
35	가입합니다~!	이름: 김민규 나이: 32 사는곳: 동탄5 그림을 제대로 배워보진 않았고 취미로 패드를 구입해 스케치하다 가입하게 되었습니다!!	G001	M000011	2019-06-21	1130	1135	자유게시판
36	수요모임 공지입니다:)	안녕하세요 김민재 입니다:) 1월 22일 그림 모임에 대한 후기입니당 ㅎㅎ 섬세하게 붓펜으로 잘 그려주신 보람님!! 대단해용	G001	M000021	2019-06-22	1140	1145	자유게시판
37	예술의전당 전시회 후기	전시회 잘 구경하고ㅎㅎ 굿즈샵 구경도 하고 드로잉도 했던 아주 보람찬!! 모임이었습니당 :)	G001	M000031	2019-06-23	1150	1155	자유게시판
38	2월1일 모임 정산입니다!	술 한잔 안마셨는데 왜인지 술자리같은 기분이 났던 모임이었네요!! 다들 분위기 속에 녹아 흥얼거렸어요	G001	M000041	2019-06-24	1160	1165	자유게시판
39	가입인사	안녕하세요 잘부탁드려요 이름: 백승재 나이: 30 사는곳:수원	G001	M000051	2019-06-25	1170	1175	자유게시판
40	수요일 드로잉 후 찌개타임	민채님 태희님 진주 정인님 경대님 저까지 42000/5=8400원입니다!!	G001	M000061	2019-06-26	1180	1185	자유게시판
