B_COMM_NO	B_COMM_CONTENT	B_COMM_MNO	B_COMM_DATE	B_COMM_BNO	B_COMM_DEPTH	B_COMM_PARENT
1	나갈 때마다 힐링하면서도 한편으로 텐션업됨 ㅋㅋㅋ	M000191	2019-06-27	2	1	1
2	분위기 넘나 조았던 듯..	M000001	2019-06-28	3	1	1
3	아직도 기억나요 ㅋㅋ 사랑의 재개발이랑 합정역 ㅋㅋㅋ	M000011	2019-06-29	3	1	1
4	지난 번 노래방의 추억.. 다들 트로트 엄청 조아하는 듯!!	M000021	2019-06-30	3	1	1
5	이번엔 진짜 다들 엄청 집중해서 그렸던 거 같아여!!	M000031	2019-07-01	4	1	1
6	수다 너무 많이 떨었던 거 아니에여? 수다 떠느라 시간 다 간 줄 ㅋㅋ	M000041	2019-07-02	5	1	1
7	카페 추천받아요~~ 조용하면서도 분위기 좋고 맛 좋은 곳으로 ㅋㅋ	M000051	2019-07-03	6	1	1
8	이번 정산은 똑바로 제때제때 보내라잉!!!	M000061	2019-07-04	6	1	1
9	다들 왤케 적극적으로 참여하는 거얔ㅋㅋㅋㅋ	M000071	2019-07-05	7	1	1
10	힐링하는 느낌이었어 완전히.. 그림 오랜 만에 그리니까 좋았어 ㅋㅋ	M000081	2019-07-06	8	1	1
11	이번에 양식으로 스테이크 잘~~~~ 썰어먹었습니다잉	M000091	2019-08-28	9	1	1
12	민재님 항상 수고가 많으심다 ㅎㅎ	M000101	2019-08-29	9	1	1
13	써드플로어 꽤 넓고 분위기도 괜춘한 듯!!	M000111	2019-08-30	9	1	1
14	패드로 가져가서 그려도 괜찮을까요~?	M000121	2019-08-31	10	1	1
15	드로잉 재료 이번에 누가 갖고 계신가여	M000131	2019-09-01	11	1	1
16	주현언니 대박웃곀ㅋㅋㅋㅋㅋㅋㅋ	M000141	2019-09-02	13	1	1
17	가을타나봐.. 센치해지는 것 같다 어째 너 ㅋㅋ	M000151	2019-09-03	13	1	1
18	날씨가 쓸쓸 쌀쌀해지는 것 같다잉 ㅋㅋ	M000131	2019-09-04	13	1	1
19	언제 공원 나가서 돗자리 펼치고 치맥하며 드로잉해여 ㅎㅎ	M000141	2019-09-05	13	1	1
20	저희 여행그림 한 번 그려보는 건 어떤가요? 건의합니당!	M000151	2019-09-06	13	1	1
21	보람님은 항상 활기차시고 밝고 재밌고 귀여우셩!	M000161	2019-09-07	15	1	1
22	운영진님 차례 어떤 식으로 돌아가시는 거에여	M000171	2019-09-08	17	1	1
23	다음 번 주제 누가 정하시나요?	M000181	2019-09-09	17	1	1
24	저 계정 잃어버려서 다시 가입했어요.. 환영해주세여	M000191	2019-09-10	18	1	1
25	카페가 조금 시끄럽긴 했는데 그림은 만족스럽게 그린 것 같습니당!!	M000001	2019-09-11	19	1	1
26	모임장님 오랜만에 뵙고 시픈데 어제 또 뵐 수 잇나영.. 꼭 건강하게 다시 뵈어요!!	M000011	2019-09-12	20	1	1
27	저 절대로 운영진 안 할 겁니당 추천하지 마세여	M000021	2019-09-13	20	1	1
28	가람님 진짜 열참여자이심.. 가람님이 운영진 해야하는 거 아님..?	M000031	2019-09-14	20	1	1
29	보람님 그림은 항상 뭔가 섬세하게 선 표현이 잘 되는 것 같아여 ㅎㅎ	M000041	2019-09-15	22	1	1
30	오늘 모임 몇 명이나 오셧나영	M000141	2019-09-16	22	1	1
31	다음엔 꼭 주차공간 넓은데로 가야지 주차하느라 힘들었당…	M000151	2019-06-17	24	1	1
32	다음엔 꼭 에이드 시켜야지.. 카페인 괜히 마셧엉	M000161	2019-06-18	26	1	1
33	오랜만에 모임에서 드로잉하니까 진심 힐링됐던 것 같아유..ㅜㅠㅠ	M000171	2019-06-19	26	1	1
34	드로잉 주제 말고 다른 걸로 그려도 됩니까잉	M000181	2019-06-20	27	1	1
35	비틀즈 LP카페 어떤가여?	M000191	2019-06-21	27	1	1
36	이번에 갔던 카페 분위기 정말 좋았던 거 같아요!! 다음에 또 추천합니당	M000001	2019-06-22	28	1	1
37	다음 번 드로잉 주제 넘나 기대된다잉	M000011	2019-06-23	29	1	1
38	기억은 나긴 나나용?	M000021	2019-06-24	29	1	1
39	2차는 어디로???	M000031	2019-06-25	30	1	1
40	이번에 갔던 삼겹살집 어땟나용	M000041	2019-06-26	31	1	1
41	민재님께서 새로 운영진이 되셨나봐용~~ㅎㅎ 화이팅입니당	M000031	2019-06-27	32	1	1
42	태희님 태쁘라고 불러도 될까용~~~~?? ㅎㅎㅎㅎㅎ	M000041	2019-06-28	34	1	1
43	가람님!! 가람님!! 가람가람 가람님!!	M000051	2019-06-29	34	1	1
44	노래방에서의 그 기억을 잊을 수 없당.. ㅋㅋ	M000061	2019-06-30	34	1	1
45	저희 채팅방에 계셨던 인영님이 그 인영님이신가용?ㅋㅋㅋ	M000071	2019-07-01	34	1	1
46	홍종흔 베이커리 빵이 맛있다던데 다들 한 번 드셔보세용 ㅎㅎ	M000081	2019-07-02	34	1	1
47	다음에 저희 거기 횟집으로 가용!!	M000091	2019-07-03	34	1	1
48	철환님 불량 운영진?ㅋㅋ	M000101	2019-07-04	34	1	1
49	보람님 수고 정말 많으셨습니당!!	M000111	2019-07-05	34	1	1
50	오늘 처음뵙는 분들이 많으셔서 신기했어요 ㅎㅎ 다음에도 많이 와주세요~	M000121	2019-07-06	34	1	1
