board_no	board_title	board_content	board_gno	board_mno	board_date	board_hit	board_like	board_catergory
81	3갤 아기 지위픽 먹이면 안되나용??	이제 막 3개월 재웠구요, 지위픽 먹였어요 샘플 근데, 애기가 아침에 똥싸면서 끼이이익하구보니ㄲㆍ 똥 다ㅆㆍ기도 전에 일어나서 우다다 거리더라구요..	G003	M000003	2020-01-02	60	10	자유게시판
82	헛구역질해요 ㅜ	이거 맞나요?????	G003	M000003	2020-01-02	61	10	자유게시판
83	첫미용 언제 시켜주셨나요??	산책하기 너무 좋아요	G003	M000163	2020-01-02	92	10	자유게시판
84	젖꼭지가 부어있어요.. 사진	티몬에 포켄스 덴탈껌 싸게 나와서요. 사볼까 하는게 가격 괜찮은거겠쭁?ㅎㅎ 가격대가 괜찮은거 같더라구요	G003	M000163	2020-01-06	12	10	자유게시판
85	회원님들~	인스타로 무지네 잡화점에 증멍사진 주문했는데 금손 작가님께서 이든이 하이바까지 만들어주셨어요. 사진도 넘 예쁘고 배송 온 것도 다 맘에 들고 대만족이에요	G003	M000143	2020-01-06	55	10	자유게시판
86	로얄캐닌 자이언트 어덜트 급여하시는분~	부천 중동에 있는 t**동물병원에서 스케일링 하려고 하는데요 여기 외과 선생님이 젊어 보이시던데.. 실력 괜찮으신 가요? ㅠㅠ	G003	M000043	2020-01-06	34	10	자유게시판
87	쇼파에 자꾸 들어가있는데 왜 그럴ㄲㆍ요?zz	추천좀요 ㅋㅋㅋ	G003	M000003	2020-01-07	74	10	자유게시판
88	지금 새벽에 강아지가 절뚝거려 병원 다녀왔는데;;	할머니가 강아지를 어떻게 하다가 데려왔어요 4개월~5개월정도 추정인데 포메같기도하고 폼피츠 같기두 해요 근데 너무 순하고 애가 겁도 많은지 집에만 있어여ㅠㅠ할머니가 시골에 사시고 연세가 있으셔서 그런지 그 쪼끄만 애애를 밖에다가 묶어놓으셧는데 제가 강아지를 잘 키울 자신이 없습니다.. 어디로 맡기고 싶은데 어디가 믿음직할까요?	G003	M000023	2020-01-08	97	10	자유게시판
89	강아지 감기인가요?	우리집에 온지도 두달이 되어가는 우리 뿌꾸...	G003	M000023	2020-01-15	56	10	자유게시판
90	상대 강아지에게 기본적인 예의는 갖춰주세요	천사네여정말... 와 모질이 어쩜저래 좋을수가 있는지 ㅠㅠㅠㅠ 눈물 질질질...	G003	M000043	2020-01-18	46	10	자유게시판
91	새벽에 아포가토	너무 귀여워서 캡쳐했는데 믹스인것 같기도 하고 ㅠㅠ	G003	M000173	2020-01-22	63	10	자유게시판
92	우리집 강쥐님이 베라수저를 갉아먹었어요	봄이가 어느덧 50일이 되갑니다..	G003	M000043	2020-01-22	92	12	자유게시판
93	멜라세덤 구ㅤㅐㅎ요	산책하기 너무 좋아요	G003	M000123	2020-01-28	19	10	자유게시판
