GATH_MEM_GNO	GATH_MEM_MNO	GATH_MEM_DATE	GATH_GARDE
G001	M000001	2020/01/03	운영자
G001	M000011	2020/01/03	운영자
G001	M000021	2020/01/03	일반회원
G001	M000031	2020/01/03	일반회원
G001	M000041	2020/01/03	일반회원
G001	M000051	2020/01/03	일반회원
G001	M000061	2020/01/03	일반회원
G001	M000071	2020/01/03	일반회원
G001	M000081	2020/01/03	일반회원
G001	M000091	2020/01/03	일반회원
G001	M000101	2020/01/03	일반회원
G001	M000111	2020/01/03	일반회원
G001	M000121	2020/01/03	일반회원
G001	M000131	2020/01/03	일반회원
G001	M000141	2020/01/03	일반회원
G001	M000151	2020/01/03	일반회원
G001	M000161	2020/01/03	일반회원
G001	M000171	2020/01/03	일반회원
G001	M000181	2020/01/03	일반회원
G001	M000191	2020/01/03	일반회원
G002	M000002	2020/01/04	운영자
G002	M000012	2020/01/04	운영자
G002	M000022	2020/01/04	일반회원
G002	M000032	2020/01/04	일반회원
G002	M000042	2020/01/04	일반회원
G002	M000052	2020/01/04	일반회원
G002	M000062	2020/01/04	일반회원
G002	M000072	2020/01/04	일반회원
G002	M000082	2020/01/04	일반회원
G002	M000092	2020/01/04	일반회원
G002	M000102	2020/01/04	일반회원
G002	M000112	2020/01/04	일반회원
G002	M000122	2020/01/04	일반회원
G002	M000132	2020/01/04	일반회원
G002	M000142	2020/01/04	일반회원
G002	M000152	2020/01/04	일반회원
G002	M000162	2020/01/04	일반회원
G002	M000172	2020/01/04	일반회원
G002	M000182	2020/01/04	일반회원
G002	M000192	2020/01/04	일반회원
G003	M000003	2020/01/05	운영자
G003	M000013	2020/01/05	운영자
G003	M000023	2020/01/05	일반회원
G003	M000033	2020/01/05	일반회원
G003	M000043	2020/01/05	일반회원
G003	M000053	2020/01/05	일반회원
G003	M000063	2020/01/05	일반회원
G003	M000073	2020/01/05	일반회원
G003	M000083	2020/01/05	일반회원
G003	M000093	2020/01/05	일반회원
G003	M000103	2020/01/05	일반회원
G003	M000113	2020/01/05	일반회원
G003	M000123	2020/01/05	일반회원
G003	M000133	2020/01/05	일반회원
G003	M000143	2020/01/05	일반회원
G003	M000153	2020/01/05	일반회원
G003	M000163	2020/01/05	일반회원
G003	M000173	2020/01/05	일반회원
G003	M000183	2020/01/05	일반회원
G003	M000193	2020/01/05	일반회원
