sche_mem_mno	sche_mem_gno	sche_mem_sno
M000001	G001	1
M000011	G001	4
M000001	G001	1
M000011	G001	1
M000031	G001	1
M000011	G001	7
M000081	G001	1
M000031	G001	1
M000001	G001	1
M000031	G001	1
M000011	G001	13
M000041	G001	1
M000041	G001	7
M000081	G001	1
M000101	G001	13
M000091	G001	7
M000041	G001	7
M000171	G001	19
M000181	G001	22
M000161	G001	25
M000031	G001	4
M000011	G001	7
M000041	G001	4
M000041	G001	4
M000081	G001	1
M000101	G001	22
M000091	G001	25
M000041	G001	25
M000171	G001	28
M000181	G001	28
M000161	G001	22
M000131	G001	19
M000121	G001	19
M000081	G001	13
M000011	G001	10
M000001	G001	10
M000041	G001	1
M000071	G001	4
M000081	G001	25
M000011	G001	25
M000001	G001	19
M000041	G001	28
M000071	G001	4
M000161	G001	4
M000031	G001	10
M000011	G001	7
M000041	G001	1
M000001	G001	16
M000011	G001	16
M000071	G001	16
M000191	G001	22
M000161	G001	22
M000151	G001	25
M000002	G002	2
M000102	G002	5
M000012	G002	8
M000022	G002	2
M000032	G002	5
M000042	G002	8
M000052	G002	11
M000062	G002	14
M000072	G002	17
M000082	G002	20
M000092	G002	23
M000102	G002	26
M000112	G002	29
M000122	G002	2
M000132	G002	5
M000142	G002	8
M000152	G002	11
M000162	G002	14
M000172	G002	17
M000182	G002	20
M000192	G002	23
M000002	G002	26
M000102	G002	29
M000012	G002	2
M000022	G002	5
M000032	G002	8
M000042	G002	11
M000052	G002	14
M000062	G002	17
M000072	G002	20
M000082	G002	23
M000092	G002	26
M000102	G002	29
M000112	G002	2
M000122	G002	5
M000132	G002	8
M000142	G002	11
M000152	G002	14
M000162	G002	17
M000172	G002	20
M000182	G002	23
M000192	G002	26
M000002	G002	29
M000102	G002	29
M000012	G002	2
M000022	G002	5
M000032	G002	2
M000042	G002	5
M000052	G002	8
M000062	G002	11
M000072	G002	14
M000082	G002	17
M000092	G002	20
M000102	G002	23
M000112	G002	26
M000122	G002	29
M000132	G002	29
M000142	G002	2
M000152	G002	26
M000162	G002	29
M000172	G002	29
M000182	G002	2
M000192	G002	17
M000002	G002	20
M000102	G002	23
M000012	G002	17
M000022	G002	20
M000032	G002	23
M000003	G003	3
M000013	G003	6
M000023	G003	9
M000033	G003	12
M000043	G003	15
M000053	G003	18
M000063	G003	21
M000073	G003	24
M000083	G003	27
M000093	G003	30
M000103	G003	3
M000113	G003	6
M000123	G003	9
M000133	G003	12
M000143	G003	15
M000153	G003	18
M000163	G003	21
M000173	G003	24
M000183	G003	27
M000193	G003	30
M000003	G003	3
M000013	G003	6
M000023	G003	9
M000033	G003	12
M000043	G003	15
M000053	G003	18
M000063	G003	21
M000073	G003	24
M000083	G003	27
M000093	G003	30
M000103	G003	3
M000113	G003	6
M000123	G003	9
M000133	G003	12
M000143	G003	15
M000153	G003	18
M000163	G003	21
M000173	G003	24
M000183	G003	27
M000193	G003	30
M000003	G003	3
M000013	G003	6
M000023	G003	9
M000033	G003	12
M000043	G003	15
M000053	G003	18
M000063	G003	21
M000073	G003	24
M000083	G003	27
M000093	G003	30
M000103	G003	3
M000113	G003	6
M000123	G003	9
M000133	G003	12
M000143	G003	15
M000153	G003	18
M000163	G003	27
M000173	G003	30
M000183	G003	3
M000193	G003	6
