법정동코드,법정동명,위도,경도
1111010100,서울특별시 종로구 청운동,37.587111,126.969069
1111010200,서울특별시 종로구 신교동,37.583911,126.968354
1111010300,서울특별시 종로구 궁정동,37.584381,126.971489
1111010400,서울특별시 종로구 효자동,37.582416,126.97167
1111010500,서울특별시 종로구 창성동,37.580363,126.972065
1111010600,서울특별시 종로구 통의동,37.578307,126.972872
1111010700,서울특별시 종로구 적선동,37.576122,126.973453
1111010800,서울특별시 종로구 통인동,37.580141,126.970127
1111010900,서울특별시 종로구 누상동,37.580478,126.965838
1111011000,서울특별시 종로구 누하동,37.579423,126.968521
1111011100,서울특별시 종로구 옥인동,37.582175,126.967275
1111011200,서울특별시 종로구 체부동,37.577645,126.970877
1111011300,서울특별시 종로구 필운동,37.577076,126.968848
1111011400,서울특별시 종로구 내자동,37.575641,126.971177
1111011500,서울특별시 종로구 사직동,37.573711,126.966295
1111011600,서울특별시 종로구 도렴동,37.572445,126.975158
1111011700,서울특별시 종로구 당주동,37.571429,126.97457
1111011800,서울특별시 종로구 내수동,37.573113,126.971819
1111011900,서울특별시 종로구 세종로,37.572655,126.976742
1111012000,서울특별시 종로구 신문로1가,37.570366,126.973968
1111012100,서울특별시 종로구 신문로2가,37.571299,126.968815
1111012200,서울특별시 종로구 청진동,37.571886,126.980676
1111012300,서울특별시 종로구 서린동,37.569668,126.979809
1111012400,서울특별시 종로구 수송동,37.573994,126.981139
1111012500,서울특별시 종로구 중학동,37.575301,126.979265
1111012600,서울특별시 종로구 종로1가,37.570479,126.980434
1111012700,서울특별시 종로구 공평동,37.571692,126.982996
1111012800,서울특별시 종로구 관훈동,37.574336,126.984857
1111012900,서울특별시 종로구 견지동,37.573529,126.983065
1111013000,서울특별시 종로구 와룡동,37.57695,126.991141
1111013100,서울특별시 종로구 권농동,37.575619,126.991498
1111013200,서울특별시 종로구 운니동,37.576159,126.989206
1111013300,서울특별시 종로구 익선동,37.574082,126.989819
1111013400,서울특별시 종로구 경운동,37.574538,126.986664
1111013500,서울특별시 종로구 관철동,37.569182,126.986053
1111013600,서울특별시 종로구 인사동,37.571837,126.986206
1111013700,서울특별시 종로구 낙원동,37.572558,126.988732
1111013800,서울특별시 종로구 종로2가,37.570195,126.986454
1111013900,서울특별시 종로구 팔판동,37.582882,126.980836
1111014000,서울특별시 종로구 삼청동,37.585404,126.982123
1111014100,서울특별시 종로구 안국동,37.577515,126.983939
1111014200,서울특별시 종로구 소격동,37.580122,126.981424
1111014300,서울특별시 종로구 화동,37.580693,126.982268
1111014400,서울특별시 종로구 사간동,37.577668,126.980593
1111014500,서울특별시 종로구 송현동,37.577322,126.982187
1111014600,서울특별시 종로구 가회동,37.582235,126.984666
1111014700,서울특별시 종로구 재동,37.578363,126.985575
1111014800,서울특별시 종로구 계동,37.581321,126.987016
1111014900,서울특별시 종로구 원서동,37.581687,126.988696
1111015000,서울특별시 종로구 훈정동,37.57098,126.995131
1111015100,서울특별시 종로구 묘동,37.572598,126.991715
1111015200,서울특별시 종로구 봉익동,37.572398,126.992873
1111015300,서울특별시 종로구 돈의동,37.572085,126.990736
1111015400,서울특별시 종로구 장사동,37.569411,126.99383
1111015500,서울특별시 종로구 관수동,37.5692,126.990527
1111015600,서울특별시 종로구 종로3가,37.570337,126.992072
1111015700,서울특별시 종로구 인의동,37.573102,126.997921
1111015800,서울특별시 종로구 예지동,37.569643,126.997971
1111015900,서울특별시 종로구 원남동,37.575326,126.997429
1111016000,서울특별시 종로구 연지동,37.57359,126.999447
1111016100,서울특별시 종로구 종로4가,37.570618,126.998135
1111016200,서울특별시 종로구 효제동,37.572859,127.003417
1111016300,서울특별시 종로구 종로5가,37.57054,127.003794
1111016400,서울특별시 종로구 종로6가,37.572572,127.006996
1111016500,서울특별시 종로구 이화동,37.577066,127.006358
1111016600,서울특별시 종로구 연건동,37.5775,127.000903
1111016700,서울특별시 종로구 충신동,37.575189,127.006471
1111016800,서울특별시 종로구 동숭동,37.581654,127.005083
1111016900,서울특별시 종로구 혜화동,37.587955,127.001157
1111017000,서울특별시 종로구 명륜1가,37.588347,126.997733
1111017100,서울특별시 종로구 명륜2가,37.584521,126.998638
1111017200,서울특별시 종로구 명륜4가,37.582225,127.000008
1111017300,서울특별시 종로구 명륜3가,37.588359,126.994739
1111017400,서울특별시 종로구 창신동,37.574729,127.012062
1111017500,서울특별시 종로구 숭인동,37.575979,127.018802
1111017600,서울특별시 종로구 교남동,37.567917,126.965108
1111017700,서울특별시 종로구 평동,37.567121,126.967018
1111017800,서울특별시 종로구 송월동,37.569779,126.96576
1111017900,서울특별시 종로구 홍파동,37.571862,126.965154
1111018000,서울특별시 종로구 교북동,37.572612,126.960436
1111018100,서울특별시 종로구 행촌동,37.574294,126.962469
1111018200,서울특별시 종로구 구기동,37.609211,126.957246
1111018300,서울특별시 종로구 평창동,37.61042,126.969837
1111018400,서울특별시 종로구 부암동,37.594148,126.964248
1111018500,서울특별시 종로구 홍지동,37.60031,126.957773
1111018600,서울특별시 종로구 신영동,37.602696,126.961378
1111018700,서울특별시 종로구 무악동,37.575906,126.959334
1114010100,서울특별시 중구 무교동,37.567732,126.979171
1114010200,서울특별시 중구 다동,37.567577,126.981026
1114010300,서울특별시 중구 태평로1가,37.568174,126.976805
1114010400,서울특별시 중구 을지로1가,37.566295,126.980137
1114010500,서울특별시 중구 을지로2가,37.565757,126.985892
1114010600,서울특별시 중구 남대문로1가,37.567451,126.982976
1114010700,서울특별시 중구 삼각동,37.567588,126.983748
1114010800,서울특별시 중구 수하동,37.567242,126.984082
1114010900,서울특별시 중구 장교동,37.567116,126.987193
1114011000,서울특별시 중구 수표동,37.567358,126.989674
1114011100,서울특별시 중구 소공동,37.563731,126.980135
1114011200,서울특별시 중구 남창동,37.55845,126.977464
1114011300,서울특별시 중구 북창동,37.5625,126.978056
1114011400,서울특별시 중구 태평로2가,37.563334,126.976861
1114011500,서울특별시 중구 남대문로2가,37.563785,126.981752
1114011600,서울특별시 중구 남대문로3가,37.561033,126.978259
1114011700,서울특별시 중구 남대문로4가,37.560635,126.976863
1114011800,서울특별시 중구 남대문로5가,37.557154,126.974366
1114011900,서울특별시 중구 봉래동1가,37.558687,126.972589
1114012000,서울특별시 중구 봉래동2가,37.557841,126.97062
1114012100,서울특별시 중구 회현동1가,37.557439,126.980748
1114012200,서울특별시 중구 회현동2가,37.558033,126.983443
1114012300,서울특별시 중구 회현동3가,37.56006,126.984082
1114012400,서울특별시 중구 충무로1가,37.561279,126.98343
1114012500,서울특별시 중구 충무로2가,37.561903,126.987942
1114012600,서울특별시 중구 명동1가,37.564135,126.984148
1114012700,서울특별시 중구 명동2가,37.56288,126.984505
1114012800,서울특별시 중구 남산동1가,37.55926,126.984605
1114012900,서울특별시 중구 남산동2가,37.558534,126.985813
1114013000,서울특별시 중구 남산동3가,37.560392,126.987105
